Statistical profiling result from isolate-0x62d8be0-4902-v8.log, (19355 ticks, 12872 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  JS: *next /var/www/html/kwaku/fatou/yellow/node_modules/express/lib/router/index.js:177:16
      2    0.0%    0.0%  JS: *multiplication32 /var/www/html/kwaku/fatou/yellow/node_modules/@faker-js/faker/dist/cjs/internal/mersenne.js:1:1123
      2    0.0%    0.0%  JS: *module.exports /var/www/html/kwaku/fatou/yellow/node_modules/utils-merge/index.js:16:36
      2    0.0%    0.0%  JS: *internalCompileFunction node:internal/vm:31:33
      2    0.0%    0.0%  JS: *get node:internal/bootstrap/node:409:8
      2    0.0%    0.0%  JS: *exports.escapeXML /var/www/html/kwaku/fatou/yellow/node_modules/ejs/lib/utils.js:96:30
      2    0.0%    0.0%  JS: *__append :8:20
      2    0.0%    0.0%  JS: *PacketWriter.writeUnsignedNumber /var/www/html/kwaku/fatou/yellow/node_modules/mysql/lib/protocol/PacketWriter.js:49:54
      2    0.0%    0.0%  JS: *ColumnDefinition /var/www/html/kwaku/fatou/yellow/node_modules/mysql2/lib/packets/column_definition.js:22:14
      1    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      1    0.0%    0.0%  RegExp: ^((?:@[^/\\%]+\/)?[^./\\%][^/\\%]*)(\/.*)?$
      1    0.0%    0.0%  RegExp: [ \t]*<%_ {1}
      1    0.0%    0.0%  RegExp: [ \t]*<%_
      1    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      1    0.0%    0.0%  RegExp: (?:^|^)\s*(?:export\s+)?([\w.-]+)(?:\s*=\s*?|:\s+?)(\s*'(?:\\'|[^'])*'|\s*"(?:\\"|[^"])*"|\s*`(?:\\`|[^`])*`|[^#\r\n]+)?\s*(?:#.*)?(?:$|$)
      1    0.0%    0.0%  RegExp: &centerdot;|&copysr;|&divideontimes;|&gtcc;|&gtcir;|&gtdot;|&gtlPar;|&gtquest;|&gtrapprox;|&gtrarr;|&gtrdot;|&gtreqless;|&gtreqqless;|&gtrless;|&gtrsim;|&ltcc;|&ltcir;|&ltdot;|&lthree;|&ltimes;|&ltlarr;|&ltquest;|&ltrPar;|&ltri;|&ltrie;|&ltrif;|&notin;|&notinE;|&notindot;|&notinva;|&notinvb;|&notinvc;|&notni;|&notniva;|&notnivb;|&notnivc;|&parallel;|&timesb;|&timesbar;|&timesd;|&(?:AElig|AMP|Aacute|Acirc|Agrave|Aring|Atilde|Auml|COPY|Ccedil|ETH|Eacute|Ecirc|Egrave|Euml|GT|Iacute|Icirc|Igrave|Iuml|LT|Ntilde|Oacute|Ocirc|Ograve|Oslash|Otilde|Ouml|QUOT|REG|THORN|Uacute|Ucirc|Ugrave|Uuml|Yacute|aacute|acirc|acute|aelig|agrave|amp|aring|atilde|auml|brvbar|ccedil|cedil|cent|copy|curren|deg|divide|eacute|ecirc|egrave|eth|euml|frac12|frac14|frac34|gt|iacute|icirc|iexcl|igrave|iquest|iuml|laquo|lt|macr|micro|middot|nbsp|not|ntilde|oacute|ocirc|ograve|ordf|ordm|oslash|otilde|ouml|para|plusmn|pound|quot|raquo|reg|sect|shy|sup1|sup2|sup3|szlig|thorn|times|uacute|ucirc|ugrave|uml|uuml|yacute|yen|yuml|#\d+|#[xX][\da-fA-F]+|[0-9a-zA-Z]+);?
      1    0.0%    0.0%  JS: ^writePacket /var/www/html/kwaku/fatou/yellow/node_modules/mysql2/lib/connection.js:293:14
      1    0.0%    0.0%  JS: ^write /var/www/html/kwaku/fatou/yellow/node_modules/mysql/lib/protocol/Parser.js:29:40
      1    0.0%    0.0%  JS: ^validateEncoding node:internal/validators:385:26
